Id,Lable,Weight
459,little,84
460,swing,84
461,struggle,84
462,expect,84
463,count,84
464,rest,84
465,significantly,84
466,decent,84
467,ice,84
468,type,84
469,careful,84
470,matinee,84
471,incredible,84
472,anyway,84
473,grind,84
474,thing,84
475,catch,84
476,somehow,84
477,seed,84
478,scenario,84
479,push,84
480,lane,84
481,build,84
482,pretty,84
483,difference,84
484,past,84
485,holiday,84
486,reason,84
487,drop,84
488,puck,84
489,yesterday,84
490,race,84
491,obvious,84
492,someone,84
493,together,84
494,handicap,84
495,injury,84
496,whole,84
497,wonder,84
498,sport,84
499,foot,84
500,crash,84
501,schedule,84
502,area,84
503,ring,84
504,percentage,84
505,level,83
506,ago,83
507,moment,83
508,life,83
509,reach,83
510,munition,83
511,experience,83
512,real,83
513,week,83
514,future,83
515,action,83
516,match,83
517,relate,83
518,follow,83
519,directly,83
520,devastate,83
521,saw,83
522,video,83
523,talk,83
524,halfway,83
525,gift,83
526,cup,83
527,effort,83
528,hurt,83
529,face,83
530,story,83
531,two,83
532,massive,83
533,thanksgiving,83
534,different,83
535,clearly,83
536,significant,83
537,fully,83
538,western,83
539,almost,83
540,couple,83
541,demonstrate,82
542,foundation,82
543,staff,82
544,allan,82
545,white,82
546,early,82
547,house,82
548,world,82
549,enough,82
550,stay,82
551,medical,82
552,key,82
553,global,82
554,agree,82
555,bring,82
556,tax,82
557,desire,82
558,human,82
559,unity,82
560,bravery,82
561,browser,82
562,brave,82
563,tactical,82
564,food,82
565,previously,82
566,batch,82
567,fund,82
568,raise,82
569,artillery,82
570,scale,82
571,arm,82
572,public,82
573,accurate,42
574,generational,42
575,except,42
576,honest,42
577,weekend,42
578,air,42
579,designed,42
580,deliver,42
581,lethal,42
582,test,42
583,lucky,42
584,sweep,42
585,precision,42
586,target,42
587,rather,42
588,warehouse,42
589,soon,42
590,unfortunately,42
591,several,42
592,sea,42
593,victory,42
594,picture,42
595,losing,42
596,minor,42
597,martin,42
598,strong,42
599,entirely,42
600,success,42
