Id,Label
burn,burn
draft,draft
fear,fear
middle,middle
ist,ist
stick,stick
outside,outside
puck,puck
drop,drop
everything,everything
reason,reason
ana,ana
place,place
holiday,holiday
rocky,rocky
doom,doom
gloom,gloom
finish,finish
spot,spot
dig,dig
thanksgiving,thanksgiving
note,note
soccer,soccer
none,none
strome,strome
col,col
rule,rule
record,record
impact,impact
catch,catch
threaten,threaten
somehow,somehow
steven,steven
quit,quit
roll,roll
squeak,squeak
series,series
nightmare,nightmare
seed,seed
clearly,clearly
intention,intention
position,position
fought,fought
significant,significant
dwell,dwell
crush,crush
gate,gate
scenario,scenario
open,open
someone,someone
driver,driver
seat,seat
behind,behind
hand,hand
build,build
space,space
finally,finally
star,star
fully,fully
embrace,embrace
morgan,morgan
interference,interference
holding,holding
rough,rough
practice,practice
march,march
madness,madness
excellent,excellent
w,w
anywhere,anywhere
string,string
handful,handful
past,past
moth,moth
probably,probably
hunt,hunt
task,task
postseason,postseason
massive,massive
possible,possible
chi,chi
literally,literally
push,push
lane,lane
wild,wild
long,long
layoff,layoff
hockey,hockey
face,face
juggernaut,juggernaut
boston,boston
matinee,matinee
anyway,anyway
cross,cross
championship,championship
incredible,incredible
performance,performance
thereby,thereby
hurt,hurt
literal,literal
night,night
bar,bar
bed,bed
actually,actually
treading,treading
nicely,nicely
flurry,flurry
straight,straight
effort,effort
interested,interested
starter,starter
round,round
decide,decide
lowly,lowly
confidence,confidence
block,block
smith,smith
sorry,sorry
careful,careful
lock,lock
hey,hey
accidental,accidental
decent,decent
unfortunate,unfortunate
result,result
weak,weak
bah,bah
cup,cup
champion,champion
music,music
flying,flying
blue,blue
attention,attention
afloat,afloat
drub,drub
heal,heal
obviously,obviously
badly,badly
needs,needs
swing,swing
late,late
coming,coming
row,row
enter,enter
little,little
slump,slump
perron,perron
family,family
parent,parent
easy,easy
nearly,nearly
shorthanded,shorthanded
rally,rally
surprisingly,surprisingly
hook,hook
achievement,achievement
mountain,mountain
climb,climb
gift,gift
definitely,definitely
must,must
count,count
sonny,sonny
dominant,dominant
doldrums,doldrums
grind,grind
weird,weird
college,college
arena,arena
attendance,attendance
barely,barely
cap,cap
dislike,dislike
recommend,recommend
duration,duration
example,example
roughly,roughly
fairly,fairly
narrow,narrow
window,window
exactly,exactly
rest,rest
though,though
pitiful,pitiful
san,san
return,return
caliber,caliber
form,form
among,among
dregs,dregs
wrap,wrap
quickly,quickly
ready,ready
super,super
bowl,bowl
officially,officially
ultimate,ultimate
warrior,warrior
surpass,surpass
course,course
gabby,gabby
